Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,Sales,20,2,Marketing,2,Female,1,Sales Representative,2,Single,3140,Y,Yes,22,4,4,4,2,4,3,0,2
50,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,1,Laboratory Technician,3,Married,3690,Y,No,15,3,4,5,2,3,2,0,2
53,0,Travel_Rarely,Research & Development,13,2,Medical,4,Female,2,Manufacturing Director,1,Divorced,4450,Y,No,11,3,3,5,3,4,2,1,3
33,0,Travel_Rarely,Research & Development,14,3,Medical,4,Female,1,Research Scientist,2,Married,2756,Y,No,13,3,4,8,3,8,7,1,6
40,0,Travel_Rarely,Research & Development,4,1,Medical,4,Female,5,Manager,3,Married,19033,Y,No,14,3,2,21,3,20,8,9,9
55,0,Travel_Rarely,Research & Development,14,4,Medical,3,Male,5,Research Director,2,Single,18722,Y,No,11,3,4,36,3,24,15,2,15
34,0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,2,Manufacturing Director,3,Married,9547,Y,No,17,3,3,10,2,10,9,1,9
51,0,Travel_Rarely,Research & Development,3,3,Medical,4,Female,4,Healthcare Representative,2,Single,13734,Y,No,18,3,3,21,3,7,7,1,0
52,0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,5,Manager,3,Married,19999,Y,No,14,3,1,34,3,33,18,11,9
27,0,Travel_Rarely,Research & Development,9,3,Medical,4,Female,1,Research Scientist,2,Single,2279,Y,No,16,3,4,7,2,7,7,0,3
35,1,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,2,Manufacturing Director,3,Married,5916,Y,Yes,13,3,1,8,3,1,0,0,1
43,0,Non-Travel,Research & Development,7,3,Medical,4,Male,1,Research Scientist,4,Divorced,2089,Y,No,14,3,4,7,4,5,4,2,2
45,0,Non-Travel,Research & Development,2,2,Medical,1,Male,4,Manager,4,Married,16792,Y,No,23,4,4,22,3,20,8,11,8
37,0,Travel_Rarely,Research & Development,21,3,Life Sciences,2,Male,1,Research Scientist,1,Married,3564,Y,Yes,12,3,1,8,2,8,7,1,7
35,0,Travel_Frequently,Research & Development,2,3,Medical,2,Female,2,Laboratory Technician,2,Single,4425,Y,No,11,3,4,10,3,6,2,1,2
42,0,Non-Travel,Research & Development,21,2,Medical,3,Female,2,Manufacturing Director,3,Divorced,5265,Y,No,16,3,2,11,3,5,3,0,2
38,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,Manufacturing Director,3,Married,6553,Y,No,14,3,2,14,3,1,0,0,0
38,0,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,2,Manufacturing Director,4,Married,6261,Y,No,18,3,1,9,1,7,7,1,7
27,0,Travel_Frequently,Research & Development,1,1,Technical Degree,3,Male,2,Manufacturing Director,1,Married,4298,Y,No,19,3,3,6,3,2,2,2,0
49,0,Non-Travel,Research & Development,18,4,Life Sciences,4,Male,2,Manufacturing Director,4,Divorced,6804,Y,Yes,15,3,1,7,3,7,7,1,7
34,0,Travel_Frequently,Research & Development,10,4,Medical,4,Male,1,Research Scientist,3,Divorced,3815,Y,Yes,17,3,4,5,4,5,3,2,0
40,0,Travel_Rarely,Research & Development,19,2,Medical,3,Male,2,Laboratory Technician,4,Married,2741,Y,Yes,15,3,3,15,4,7,2,3,7
38,1,Travel_Rarely,Research & Development,29,1,Medical,2,Male,2,Healthcare Representative,1,Married,6673,Y,Yes,19,3,2,17,3,1,0,0,0
29,1,Travel_Rarely,Sales,27,3,Marketing,2,Female,3,Sales Executive,4,Married,7639,Y,No,22,4,4,10,2,10,4,1,9
22,0,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,1,Research Scientist,2,Divorced,2328,Y,Yes,16,3,1,4,2,4,2,2,2
36,0,Travel_Frequently,Research & Development,18,1,Medical,2,Female,1,Laboratory Technician,4,Single,2153,Y,No,13,3,1,8,3,8,1,1,7
40,0,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,2,Healthcare Representative,4,Married,4876,Y,No,14,3,4,5,1,3,2,0,2
46,0,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,Healthcare Representative,1,Divorced,9396,Y,No,16,3,3,17,3,4,2,0,3
32,1,Travel_Rarely,Sales,4,4,Medical,4,Male,3,Sales Executive,4,Married,10400,Y,No,11,3,3,14,2,14,8,9,8
30,0,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,3,Manufacturing Director,3,Single,8474,Y,No,22,4,3,12,3,11,8,5,8
27,0,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,2,Sales Executive,3,Single,9981,Y,No,14,3,4,7,3,7,7,0,7
51,0,Travel_Rarely,Research & Development,8,4,Life Sciences,2,Male,3,Research Director,2,Married,12490,Y,No,16,3,4,16,1,10,9,4,7
30,1,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,1,Research Scientist,1,Single,2657,Y,Yes,11,3,3,8,3,5,2,0,4
41,0,Travel_Rarely,Sales,6,3,Life Sciences,4,Female,3,Manager,4,Single,13591,Y,Yes,18,3,3,16,3,1,0,0,0
30,1,Travel_Frequently,Sales,26,4,Marketing,3,Female,2,Sales Executive,1,Single,6696,Y,No,15,3,3,9,2,6,3,0,1
29,1,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,1,Research Scientist,3,Single,2058,Y,No,14,3,4,7,2,6,2,1,5
45,0,Non-Travel,Sales,6,3,Medical,4,Female,3,Sales Executive,4,Single,8865,Y,No,12,3,4,23,3,19,7,12,8
54,0,Travel_Rarely,Sales,3,3,Marketing,4,Female,2,Sales Executive,1,Married,5940,Y,No,14,3,4,16,3,6,2,0,5
36,0,Travel_Rarely,Research & Development,5,2,Life Sciences,4,Male,2,Laboratory Technician,2,Single,5914,Y,No,16,3,4,16,4,13,11,3,7
33,0,Travel_Rarely,Research & Development,4,4,Medical,3,Female,1,Research Scientist,2,Married,2622,Y,No,21,4,4,7,3,3,2,1,1
37,0,Travel_Frequently,Research & Development,11,3,Other,2,Male,3,Research Director,4,Divorced,12185,Y,Yes,14,3,3,10,3,10,8,0,7
38,0,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,Sales Executive,3,Divorced,10609,Y,No,12,3,3,17,2,16,10,5,13
31,0,Non-Travel,Research & Development,1,4,Medical,3,Male,2,Manufacturing Director,3,Married,4345,Y,No,12,3,4,6,3,5,4,1,4
59,0,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,1,Research Scientist,4,Married,2177,Y,No,17,3,1,7,3,1,0,0,0
37,0,Travel_Frequently,Sales,4,4,Marketing,1,Male,1,Sales Representative,4,Divorced,2793,Y,No,17,3,3,13,3,9,8,5,8
29,0,Travel_Frequently,Sales,1,1,Medical,2,Female,3,Sales Executive,4,Married,7918,Y,No,14,3,4,11,3,11,10,4,1
35,0,Travel_Frequently,Sales,1,3,Marketing,3,Female,3,Sales Executive,3,Single,8789,Y,No,14,3,1,10,4,10,7,0,8
29,1,Travel_Rarely,Research & Development,18,1,Medical,3,Male,1,Research Scientist,4,Single,2389,Y,Yes,13,3,3,4,2,4,3,0,1
52,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,Laboratory Technician,4,Single,3212,Y,No,15,3,2,6,2,2,2,2,2
42,0,Travel_Rarely,Research & Development,4,2,Technical Degree,3,Male,5,Manager,4,Married,19232,Y,No,11,3,4,22,3,22,17,11,15
59,0,Travel_Rarely,Human Resources,6,2,Medical,2,Male,1,Human Resources,3,Married,2267,Y,No,17,3,4,7,2,2,2,2,2
50,0,Travel_Rarely,Sales,1,4,Medical,4,Female,5,Manager,4,Divorced,19517,Y,No,11,3,3,32,2,7,0,0,6
33,1,Travel_Rarely,Research & Development,14,3,Medical,3,Male,1,Laboratory Technician,4,Married,2436,Y,Yes,13,3,3,8,1,5,4,0,4
43,0,Travel_Rarely,Sales,16,3,Marketing,4,Female,4,Manager,4,Married,16064,Y,Yes,22,4,3,22,3,17,13,1,9
33,1,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,1,Laboratory Technician,1,Married,2707,Y,No,20,4,1,13,4,9,7,1,7
52,0,Non-Travel,Sales,2,4,Life Sciences,1,Male,5,Manager,3,Single,19068,Y,Yes,18,3,4,33,4,33,7,15,12
32,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,1,Sales Representative,2,Married,3931,Y,No,11,3,1,6,3,4,3,1,2
32,1,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,1,Laboratory Technician,3,Single,3730,Y,Yes,14,3,4,4,1,3,2,1,2
39,0,Travel_Rarely,Research & Development,1,4,Medical,3,Female,1,Laboratory Technician,3,Divorced,2232,Y,No,14,3,3,7,3,3,2,1,2
32,0,Non-Travel,Sales,26,4,Marketing,3,Male,2,Sales Executive,4,Married,4465,Y,No,18,3,1,4,3,3,2,2,2
41,0,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,2,Research Scientist,1,Divorced,3072,Y,No,16,3,1,17,2,1,0,0,0
40,0,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,2,Research Scientist,4,Divorced,3319,Y,No,17,3,1,9,3,9,8,4,7
45,0,Travel_Rarely,Research & Development,1,3,Other,3,Male,5,Manager,4,Married,19202,Y,No,11,3,3,25,3,24,0,1,7
31,0,Travel_Frequently,Research & Development,3,4,Medical,2,Male,3,Research Director,3,Divorced,13675,Y,No,12,3,1,9,3,2,2,2,2
33,0,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,1,Research Scientist,4,Married,2911,Y,No,13,3,3,2,2,2,2,0,2
34,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,Manufacturing Director,1,Married,5957,Y,No,13,3,2,13,3,11,9,5,9
37,0,Travel_Rarely,Research & Development,1,2,Medical,3,Female,1,Research Scientist,1,Married,3920,Y,No,14,3,1,17,2,3,1,0,2
45,0,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,2,Manufacturing Director,3,Married,6434,Y,No,17,3,4,9,3,3,2,0,2
37,1,Travel_Frequently,Research & Development,10,3,Medical,1,Male,3,Manufacturing Director,3,Divorced,10048,Y,No,11,3,2,17,3,1,0,0,0
39,0,Travel_Frequently,Research & Development,2,4,Technical Degree,3,Female,3,Healthcare Representative,3,Single,10938,Y,No,25,4,4,20,3,19,6,11,8
29,0,Travel_Rarely,Research & Development,15,3,Life Sciences,3,Male,1,Research Scientist,4,Single,2340,Y,No,19,3,1,6,3,6,5,1,5
42,0,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,2,Research Scientist,1,Single,6545,Y,Yes,13,3,3,10,3,3,2,0,2
29,0,Travel_Rarely,Sales,20,2,Marketing,4,Male,2,Sales Executive,4,Divorced,6931,Y,No,14,3,4,10,3,3,2,0,2
25,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Manufacturing Director,3,Married,4898,Y,No,12,3,4,5,3,4,2,1,2
42,0,Travel_Rarely,Research & Development,2,3,Medical,4,Female,1,Laboratory Technician,1,Divorced,2593,Y,Yes,11,3,3,10,3,9,6,7,8
40,0,Travel_Rarely,Research & Development,2,2,Medical,1,Male,5,Research Director,3,Divorced,19436,Y,No,19,3,4,22,3,21,7,3,9
51,0,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,1,Research Scientist,4,Married,2723,Y,No,11,3,2,1,2,1,0,0,0
31,1,Travel_Frequently,Research & Development,29,2,Medical,3,Male,1,Laboratory Technician,2,Single,3479,Y,No,11,3,2,6,4,5,4,1,4
32,0,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,1,Laboratory Technician,2,Married,2794,Y,No,20,4,3,5,1,5,1,0,3
38,0,Non-Travel,Sales,2,2,Life Sciences,4,Male,2,Sales Executive,4,Married,5249,Y,No,18,3,4,13,3,8,7,7,5
32,0,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,2,Laboratory Technician,1,Single,2176,Y,No,13,3,4,9,3,6,2,0,4
46,0,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,4,Manager,2,Married,16872,Y,Yes,12,3,2,28,2,7,7,7,7
28,1,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,1,Laboratory Technician,3,Single,3485,Y,No,11,3,3,5,1,0,0,0,0
29,0,Travel_Rarely,Sales,2,3,Medical,1,Male,2,Sales Executive,2,Married,6644,Y,No,19,3,2,10,3,0,0,0,0
31,0,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,Healthcare Representative,4,Married,5582,Y,No,21,4,2,10,3,9,0,7,8
25,0,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,2,Healthcare Representative,1,Divorced,4000,Y,No,12,3,4,6,3,6,3,1,5
45,0,Travel_Rarely,Research & Development,20,2,Medical,3,Male,4,Healthcare Representative,4,Married,13496,Y,Yes,14,3,2,21,3,20,7,4,10
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,1,Laboratory Technician,4,Married,3210,Y,No,11,3,3,16,3,15,13,10,11
55,0,Travel_Rarely,Research & Development,1,3,Medical,4,Male,5,Manager,1,Single,19045,Y,Yes,14,3,3,37,3,36,10,4,13
47,1,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,3,Manager,2,Married,11849,Y,Yes,12,3,4,10,2,10,7,9,9
28,0,Travel_Rarely,Research & Development,9,3,Medical,4,Male,1,Research Scientist,4,Married,2070,Y,No,23,4,4,5,2,5,2,0,4
37,0,Travel_Rarely,Sales,6,4,Medical,3,Male,2,Sales Executive,4,Married,6502,Y,No,14,3,2,7,4,5,4,0,1
21,0,Travel_Rarely,Research & Development,3,2,Medical,4,Male,1,Research Scientist,3,Single,3230,Y,No,17,3,1,3,4,3,2,1,0
37,0,Non-Travel,Research & Development,1,4,Medical,1,Female,3,Research Director,4,Divorced,13603,Y,Yes,18,3,1,15,3,5,2,0,2
35,0,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,3,Manager,2,Divorced,11996,Y,No,18,3,2,10,2,7,7,6,2
38,0,Travel_Rarely,Sales,7,2,Medical,1,Female,2,Sales Executive,1,Divorced,5605,Y,Yes,24,4,3,8,3,8,0,7,7
26,0,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,2,Manufacturing Director,2,Divorced,6397,Y,No,20,4,1,6,1,6,5,1,4
50,0,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,5,Research Director,2,Divorced,19144,Y,No,14,3,1,28,2,10,4,1,6
53,0,Travel_Rarely,Research & Development,3,4,Medical,3,Male,4,Research Director,3,Married,17584,Y,Yes,16,3,4,21,2,5,3,1,3
42,0,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,2,Sales Executive,3,Married,4907,Y,No,25,4,3,20,3,20,16,11,6
29,0,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,2,Sales Executive,4,Single,4554,Y,No,18,3,1,10,2,10,7,0,9
55,0,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,2,Laboratory Technician,4,Married,5415,Y,Yes,19,3,4,12,3,10,7,0,8
26,0,Travel_Frequently,Research & Development,11,2,Medical,1,Male,2,Healthcare Representative,1,Married,4741,Y,Yes,13,3,3,5,3,5,3,3,3
37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,1,Research Scientist,4,Single,2115,Y,No,12,3,2,17,3,17,12,5,7
44,1,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,1,Laboratory Technician,3,Divorced,3161,Y,Yes,22,4,4,19,1,1,0,0,0
38,0,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,2,Healthcare Representative,4,Divorced,5745,Y,No,14,3,2,10,3,2,2,1,2
26,1,Travel_Rarely,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,2,Divorced,2373,Y,Yes,13,3,4,5,3,3,2,0,2
28,0,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,1,Research Scientist,4,Single,3310,Y,No,21,4,4,5,3,5,3,0,2
49,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,5,Research Director,1,Single,18665,Y,Yes,11,3,4,22,3,3,2,1,2
36,0,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,2,Research Scientist,2,Single,4485,Y,No,12,3,4,10,3,8,0,7,7
31,0,Travel_Frequently,Sales,5,3,Marketing,4,Female,1,Sales Representative,2,Divorced,2789,Y,No,11,3,3,2,2,2,2,2,2
26,1,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,Sales Executive,4,Single,5828,Y,Yes,12,3,2,8,3,8,7,7,4
37,0,Travel_Frequently,Research & Development,9,3,Medical,2,Male,1,Research Scientist,4,Married,2326,Y,Yes,12,3,3,4,2,4,2,1,2
42,0,Travel_Frequently,Sales,26,3,Marketing,3,Female,4,Sales Executive,2,Married,13525,Y,No,14,3,4,23,4,20,4,4,8
18,1,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,1,Laboratory Technician,3,Single,1420,Y,No,13,3,3,0,3,0,0,0,0
35,0,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,Sales Executive,2,Married,8020,Y,No,15,3,3,12,2,11,9,6,9
36,0,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,1,Laboratory Technician,4,Married,3688,Y,No,18,3,4,4,3,1,0,0,0
51,0,Travel_Rarely,Research & Development,2,3,Medical,4,Male,2,Manufacturing Director,2,Divorced,5482,Y,No,18,3,4,13,3,4,1,1,2
41,0,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,4,Manager,2,Single,16015,Y,No,19,3,2,22,3,22,10,0,4
18,0,Travel_Rarely,Sales,10,3,Medical,4,Female,1,Sales Representative,3,Single,1200,Y,No,12,3,1,0,3,0,0,0,0
28,0,Travel_Rarely,Research & Development,16,2,Medical,2,Male,2,Healthcare Representative,1,Single,5661,Y,No,19,3,3,9,3,8,3,0,7
31,0,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,2,Sales Executive,4,Married,6929,Y,No,11,3,2,10,2,8,7,7,7
39,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,3,Healthcare Representative,4,Divorced,9613,Y,No,17,3,1,19,2,18,10,3,7
36,0,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,2,Laboratory Technician,2,Married,5674,Y,No,15,3,3,11,3,9,8,0,8
32,0,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,Sales Executive,3,Married,5484,Y,No,14,3,3,13,2,13,8,4,8
38,0,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,3,Research Director,2,Married,12061,Y,No,17,3,3,19,3,10,8,0,1
58,0,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,2,Healthcare Representative,3,Divorced,5660,Y,Yes,13,3,4,12,3,5,3,1,2
31,0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,1,Research Scientist,4,Married,4821,Y,Yes,12,3,3,6,3,5,2,0,3
31,0,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,Human Resources,1,Married,6410,Y,No,12,3,4,9,3,2,2,1,0
45,0,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,Laboratory Technician,1,Divorced,5210,Y,No,18,3,1,24,3,24,9,9,11
31,0,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,1,Research Scientist,4,Divorced,2695,Y,Yes,18,3,2,3,1,2,2,2,2
33,0,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,Manager,2,Married,11878,Y,No,11,3,2,12,3,10,6,8,8
39,0,Travel_Rarely,Research & Development,10,1,Medical,3,Male,4,Manager,1,Married,17068,Y,Yes,14,3,4,21,3,21,9,11,10
43,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,1,Laboratory Technician,4,Single,2455,Y,No,19,3,1,9,3,8,7,1,7
49,0,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,4,Healthcare Representative,3,Single,13964,Y,Yes,12,3,4,25,3,7,1,0,7
52,1,Travel_Rarely,Research & Development,8,4,Medical,3,Male,2,Research Scientist,2,Married,4941,Y,No,15,3,1,11,2,8,2,7,7
27,0,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,1,Research Scientist,2,Single,2478,Y,Yes,12,3,2,4,2,4,3,1,2
32,0,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,2,Sales Executive,2,Married,5228,Y,Yes,11,3,4,13,3,13,12,11,9
27,0,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,2,Sales Executive,3,Single,4478,Y,Yes,11,3,1,5,3,5,4,0,4
31,0,Travel_Rarely,Sales,7,3,Marketing,4,Male,2,Sales Executive,4,Divorced,7547,Y,No,12,3,4,13,3,7,7,1,7
32,0,Travel_Rarely,Research & Development,2,4,Medical,1,Female,2,Research Scientist,4,Single,5055,Y,No,16,3,3,10,2,7,7,0,7
28,1,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,Research Scientist,4,Married,3464,Y,Yes,13,3,4,5,2,3,2,2,2
30,0,Travel_Rarely,Research & Development,28,2,Medical,4,Female,2,Research Scientist,4,Married,5775,Y,No,13,3,4,11,3,10,8,1,9
31,0,Travel_Frequently,Research & Development,7,2,Life Sciences,3,Female,3,Manufacturing Director,3,Married,8943,Y,No,24,4,1,10,3,10,9,8,9
39,0,Travel_Frequently,Research & Development,7,2,Medical,3,Male,5,Manager,4,Married,19272,Y,No,15,3,1,21,3,21,9,13,3
39,1,Travel_Rarely,Sales,3,2,Medical,4,Female,2,Sales Executive,3,Married,5238,Y,Yes,18,3,1,12,2,1,0,0,0
33,0,Travel_Frequently,Sales,10,3,Marketing,2,Male,2,Sales Executive,4,Single,4682,Y,No,14,3,3,9,2,7,7,0,1
47,0,Travel_Rarely,Research & Development,5,5,Life Sciences,4,Male,5,Research Director,3,Married,18300,Y,No,11,3,2,21,3,3,2,1,1
43,0,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,2,Laboratory Technician,3,Divorced,5257,Y,No,11,3,2,9,4,9,7,0,0
27,0,Non-Travel,Sales,1,1,Marketing,3,Male,2,Sales Executive,2,Married,6349,Y,Yes,13,3,4,6,3,5,4,1,4
54,0,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,2,Research Scientist,3,Single,4869,Y,No,12,3,4,20,2,4,3,0,3
43,0,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,3,Healthcare Representative,1,Married,9985,Y,No,16,3,1,10,2,1,0,0,0
45,0,Travel_Rarely,Research & Development,8,4,Other,4,Male,2,Research Scientist,4,Married,3697,Y,No,14,3,1,12,3,10,9,9,8
40,0,Travel_Rarely,Sales,1,2,Medical,2,Male,2,Sales Executive,4,Married,7457,Y,Yes,22,4,3,6,2,4,3,0,2
29,1,Travel_Rarely,Research & Development,8,4,Other,2,Male,1,Laboratory Technician,1,Married,2119,Y,Yes,11,3,4,7,2,7,7,0,7
29,0,Travel_Rarely,Research & Development,9,5,Other,2,Male,1,Laboratory Technician,4,Single,3983,Y,No,17,3,3,4,3,3,2,2,2
30,0,Travel_Rarely,Sales,5,3,Marketing,4,Female,2,Sales Executive,3,Divorced,6118,Y,No,13,3,3,10,3,10,9,1,2
27,0,Travel_Rarely,Sales,8,4,Marketing,2,Female,2,Sales Executive,2,Married,6214,Y,No,18,3,1,8,3,8,7,0,7
37,0,Travel_Rarely,Research & Development,5,2,Medical,4,Male,2,Manufacturing Director,4,Divorced,6347,Y,No,16,3,3,8,2,6,2,0,4
38,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,Research Director,4,Divorced,11510,Y,Yes,14,3,2,12,3,11,10,2,9
31,0,Travel_Rarely,Research & Development,7,4,Medical,3,Female,3,Manufacturing Director,4,Single,7143,Y,Yes,14,3,3,11,2,11,9,4,10
29,0,Travel_Rarely,Sales,10,1,Marketing,4,Female,2,Sales Executive,2,Divorced,8268,Y,Yes,14,3,1,7,3,7,7,1,7
35,0,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Manufacturing Director,2,Single,8095,Y,No,13,3,4,17,3,16,6,0,13
23,0,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,1,Research Scientist,4,Divorced,2904,Y,No,12,3,3,4,2,4,2,0,2
41,0,Travel_Rarely,Research & Development,6,3,Medical,4,Male,2,Manufacturing Director,2,Single,6032,Y,Yes,15,3,4,8,3,5,4,1,2
47,0,Travel_Frequently,Sales,4,1,Medical,2,Male,2,Sales Representative,3,Single,2976,Y,No,19,3,1,5,3,0,0,0,0
42,0,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,4,Research Director,4,Single,15992,Y,No,14,3,2,16,3,1,0,0,0
29,0,Non-Travel,Sales,2,3,Life Sciences,4,Male,2,Sales Executive,3,Married,4649,Y,No,14,3,1,4,2,4,3,0,2
42,0,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,1,Human Resources,3,Divorced,2696,Y,Yes,11,3,3,4,3,3,2,1,0
32,0,Travel_Rarely,Research & Development,2,3,Medical,3,Female,1,Laboratory Technician,2,Married,2370,Y,No,13,3,3,8,3,8,0,0,7
48,0,Travel_Rarely,Sales,29,1,Medical,1,Female,3,Manager,3,Married,12504,Y,No,21,4,2,15,1,0,0,0,0
37,0,Travel_Rarely,Research & Development,6,3,Medical,3,Male,2,Research Scientist,1,Divorced,5974,Y,Yes,13,3,1,13,3,7,7,6,7
30,0,Non-Travel,Sales,25,2,Technical Degree,4,Female,2,Sales Executive,3,Married,4736,Y,Yes,12,3,2,4,4,2,2,2,2
26,0,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,2,Sales Executive,3,Married,5296,Y,No,17,3,2,8,3,8,7,7,7
42,0,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,Healthcare Representative,4,Single,6781,Y,No,23,4,2,14,3,1,0,0,0
21,1,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,1,Sales Representative,2,Single,2174,Y,Yes,11,3,3,3,3,3,2,1,2
36,0,Non-Travel,Sales,1,5,Medical,4,Female,2,Sales Executive,4,Single,6653,Y,No,15,3,2,7,3,1,0,0,0
36,0,Travel_Frequently,Sales,3,4,Medical,1,Male,3,Sales Executive,4,Married,9699,Y,No,11,3,1,16,3,13,9,1,12
57,0,Travel_Rarely,Research & Development,1,4,Medical,4,Male,2,Healthcare Representative,3,Married,6755,Y,No,11,3,3,15,3,3,2,1,2
40,0,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,1,Laboratory Technician,3,Married,2213,Y,Yes,13,3,3,10,3,7,7,1,7
21,0,Non-Travel,Sales,9,2,Medical,1,Male,1,Sales Representative,4,Single,2610,Y,No,24,4,3,3,2,3,2,2,2
33,1,Travel_Rarely,Sales,5,3,Marketing,4,Female,1,Sales Representative,3,Single,2851,Y,Yes,13,3,2,1,3,1,0,0,0
37,0,Travel_Rarely,Research & Development,10,3,Medical,3,Female,1,Laboratory Technician,1,Married,3452,Y,No,20,4,2,17,3,5,4,0,3
46,0,Non-Travel,Research & Development,7,4,Medical,3,Female,2,Manufacturing Director,3,Married,5258,Y,No,14,3,3,7,4,1,0,0,0
41,1,Travel_Frequently,Sales,4,3,Marketing,1,Male,2,Sales Executive,2,Single,9355,Y,No,18,3,3,8,3,8,7,7,7
50,0,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,3,Healthcare Representative,4,Single,10496,Y,No,15,3,4,20,3,4,3,1,3
